"","Kinase Uniprot ID","Kinase Name","Kinase Group","Kinase Family","Mean Specificity Score","Mean Significance Score","Median Final score","Max Final Score","Mean Kinase Statistic","Median Kinase Statistic","SD Kinase Statitistic","Mean peptide set size"
"45","Q9UM73","ALK","TK","Alk","0.185150180571181","1.32851430648272","1.44835485734539","1.84115522636501","-0.712731681290459","-0.707090523734669","0.0251062168674662","31"
"46","P06239","Lck","TK","Src","0.23544661360692","1.21937197089696","1.44157945499872","1.53360695363864","-0.727173323732273","-0.728505691923254","0.0065279041079512","23"
"47","P43405","Syk","TK","Syk","0.147129218947988","1.26812228307918","1.4343410460748","1.56288390695192","-0.719665843671193","-0.719465320523388","0.0173420276312759","52"
"48","P29376","LTK","TK","Alk","0.457060369951836","1.30041082788253","1.43179517974314","3.04769199033787","-0.74907680731038","-0.732613748695544","0.0852495290390922","10"
"49","P42684","Arg","TK","Abl","0.0767119236396998","1.27395266429148","1.35163998901907","1.4943074925878","-0.686695226428489","-0.679412441632564","0.0224697680444798","40"
"50","Q05397","FAK1","TK","Fak","0.133786751622012","1.15563864508955","1.33852807123338","1.55533076906148","-0.697939193247151","-0.692310080897656","0.0346894326721031","29"
"51","P04629","TRKA","TK","Trk","0.242443142622838","1.16973828490212","1.32731116462061","1.75055703855742","-0.716280053193926","-0.701548717690826","0.042881771578812","11"
"52","P42679","CTK","TK","Csk","0.0984147955143128","1.17876851122327","1.32148162095989","1.40173490249371","-0.669605554842458","-0.655485883275577","0.0335434100940686","22"
"53","P00519","Abl","TK","Abl","0.0469403337430094","1.27178420903566","1.32115397516396","1.42296801437397","-0.678228750759387","-0.681553990395077","0.0146036778073554","38"
"54","P07948","Lyn","TK","Src","0.193748627690252","1.18409943799327","1.31984585826563","1.57368397104236","-0.710995135950478","-0.716651620563232","0.01663802411596","18"
"55","Q16620","TRKB","TK","Trk","0.187886500321546","1.0929095172379","1.27736607746619","1.44563199900991","-0.707919698753414","-0.710703620591106","0.0139860794003818","17"
"56","P30530","Axl","TK","Axl","0.0199418671912397","1.17357385317599","1.23171717409995","1.37439948711718","-0.658959319357009","-0.671051372294264","0.0340812869643129","43"
"57","Q16288","TRKC","TK","Trk","0.127838046583156","1.07829063989294","1.20937710451413","1.41675587127368","-0.677621355957732","-0.677603835442165","0.0287054228644563","15"
"58","P43403","ZAP70","TK","Syk","0.0322012409539907","1.19068290111751","1.19728099242032","1.358763924296","-0.673487150963444","-0.674860100086516","0.0169494522030978","42"
"59","P21802","FGFR2","TK","FGFR","0.210419885966247","1.04404643459591","1.18657914951692","1.87367373990506","-0.67203062451037","-0.639257695060089","0.0548758476064882","6"
"60","P07333","FmS/CSFR","TK","PDGFR","0.120919601119071","1.09436444366252","1.15984370099063","1.57446577950174","-0.618523958811081","-0.601719490891001","0.0758794059858455","7"
"61","P22607","FGFR3","TK","FGFR","0.173900165144788","0.956633885839809","1.15232919812997","1.26921772433361","-0.655720262300335","-0.639257695060089","0.0371348339310565","5"
"62","Q14289","FAK2","TK","Fak","0.0355810987099729","1.11565531923212","1.13882416448697","1.30019694972716","-0.644086041566648","-0.646142696289443","0.0126518204448885","25"
"63","P08069","IGF1R","TK","InsR","0.0401812302966259","0.826648446929461","0.971754183427526","1.04229695845117","-0.562517336744148","-0.602219816327896","0.078077432411848","9"
"64","P06213","InSR","TK","InsR","0.04595012339229","0.899902489075437","0.933450461238066","1.0374980755694","-0.601798923006209","-0.603123832461171","0.00757297506436073","11"
"65","P12931","Src","TK","Src","0.00378677974082201","0.912874929493865","0.910066642683586","1.00700490156866","-0.605816677285104","-0.600693237716846","0.0118115433974194","30"
"66","P51451","BLK","TK","Src","0.0171428448219295","0.841818378168829","0.903994260284887","0.988818777426836","-0.566373929639654","-0.575704526501731","0.0211086594217402","15"
"67","P08631","HCK","TK","Src","0.0274495333351164","0.815989958478615","0.858462435866937","0.930036062149237","-0.593819196583407","-0.596970624110311","0.0341114061130626","15"
"68","P07947","Yes","TK","Src","0.00339564669291779","0.784349470098951","0.852954711029316","0.89979493192079","-0.545409778716424","-0.578070811685708","0.047813494490673","17"
"69","H0Y8A4","RYK","TK","Ryk","0.100582316826204","0.778267930451204","0.814968079567232","1.41643852052379","-0.570296564692317","-0.559045664838156","0.0767213092572567","4"
"70","P06241","Fyn","TK","Src","0.0077336939806196","0.78187801298644","0.782579230487187","0.886912716925687","-0.55340885021097","-0.538042165603788","0.0251608277143791","15"
"71","P09619","PDGFR[beta]","TK","PDGFR","0.000579832936312982","0.74583963379368","0.774690718274137","0.801342913045577","-0.471268949932451","-0.461632328053046","0.0145558238861186","13"
"72","P16234","PDGFR[alpha]","TK","PDGFR","0.0708877003977457","0.91171210242356","0.606193234751105","1.80288491891273","-0.502956425105932","-0.43895033568785","0.0968897745438167","3"
"73","P49841","GSK3[beta]","CMGC","GSK","0.00887952412492534","0.403924086360174","0.411965959286886","0.436789543011918","-0.348680089136252","-0.348680089136252","0","3"
