"FitApply..Test Condition","FitApply..ID","MTVC.gs0.variable","MTVC.gs0.value"
"Control","CD70_9_21_C17S","MTVC.ds50.pvalue.treatment",
"Control","CD70_9_21_C17S","MTVC.ds50.pvalue.treatment",
"Control","CD70_9_21_C17S","MTVC.ds50.pvalue.treatment",
"Control","CD70_9_21_C17S","MTVC.ds50.pvalue.treatment",
"Control","CD70_9_21_C17S","MTVC.ds50.pvalue.treatment",
"Control","CD70_9_21_C17S","MTVC.ds50.pvalue.treatment",
"Control","CD79A_181_193","MTVC.ds50.LogFC",
"Control","CD79A_181_193","MTVC.ds50.LogFC",
"Control","CD79A_181_193","MTVC.ds50.LogFC",
"Control","CD79A_181_193","MTVC.ds50.LogFC",
"Control","CD79A_181_193","MTVC.ds50.LogFC",
"Control","CD79A_181_193","MTVC.ds50.LogFC",
"Control","CD79A_181_193","MTVC.ds50.pvalue.treatment",
"Control","CD79A_181_193","MTVC.ds50.pvalue.treatment",
"Control","CD79A_181_193","MTVC.ds50.pvalue.treatment",
"Control","CD79A_181_193","MTVC.ds50.pvalue.treatment",
"Control","CD79A_181_193","MTVC.ds50.pvalue.treatment",
"Control","CD79A_181_193","MTVC.ds50.pvalue.treatment",
"Control","CDK1_9_21","MTVC.ds50.LogFC",
"Control","CDK1_9_21","MTVC.ds50.LogFC",
"Control","CDK1_9_21","MTVC.ds50.LogFC",
"Control","CDK1_9_21","MTVC.ds50.LogFC",
"Control","CDK1_9_21","MTVC.ds50.LogFC",
"Control","CDK1_9_21","MTVC.ds50.LogFC",
"Control","CDK1_9_21","MTVC.ds50.pvalue.treatment",
"Control","CDK1_9_21","MTVC.ds50.pvalue.treatment",
"Control","CDK1_9_21","MTVC.ds50.pvalue.treatment",
"Control","CDK1_9_21","MTVC.ds50.pvalue.treatment",
"Control","CDK1_9_21","MTVC.ds50.pvalue.treatment",
"Control","CDK1_9_21","MTVC.ds50.pvalue.treatment",
"Control","CDK2_8_20","MTVC.ds50.LogFC",
"Control","CDK2_8_20","MTVC.ds50.LogFC",
"Control","CDK2_8_20","MTVC.ds50.LogFC",
"Control","CDK2_8_20","MTVC.ds50.LogFC",
"Control","CDK2_8_20","MTVC.ds50.LogFC",
"Control","CDK2_8_20","MTVC.ds50.LogFC",
"Control","CDK2_8_20","MTVC.ds50.pvalue.treatment",
"Control","CDK2_8_20","MTVC.ds50.pvalue.treatment",
"Control","CDK2_8_20","MTVC.ds50.pvalue.treatment",
"Control","CDK2_8_20","MTVC.ds50.pvalue.treatment",
